Descriptor Name,Full Scientific Name,Source Library,Scientific Category,Functional Description & Toxicology Significance
AATS7pe,Average Atom-type Topological State Index of Lag 7 weighted by Pauling Electronegativity,Mordred,Autocorrelation,Average Atom-type Topological State index representing spatial distribution of atomic properties across the molecular graph.
AATS7s,Average Atom-type Topological State Index of Lag 7 weighted by Intrinsic State,Mordred,Autocorrelation,Average Atom-type Topological State index representing spatial distribution of atomic properties across the molecular graph.
AATS7se,Average Atom-type Topological State Index of Lag 7 weighted by Sanders-relative Electronegativity,Mordred,Autocorrelation,Average Atom-type Topological State index representing spatial distribution of atomic properties across the molecular graph.
AATS7v,Average Atom-type Topological State Index of Lag 7 weighted by Van der Waals Volume,Mordred,Autocorrelation,Average Atom-type Topological State index representing spatial distribution of atomic properties across the molecular graph.
AATS8Z,Average Atom-type Topological State Index of Lag 8 weighted by Atomic Number,Mordred,Autocorrelation,Average Atom-type Topological State index representing spatial distribution of atomic properties across the molecular graph.
AATS8are,Average Atom-type Topological State Index of Lag 8 weighted by Allinger-relative Electronegativity,Mordred,Autocorrelation,Average Atom-type Topological State index representing spatial distribution of atomic properties across the molecular graph.
AATS8d,Average Atom-type Topological State Index of Lag 8 weighted by Vertex Degree,Mordred,Autocorrelation,Average Atom-type Topological State index representing spatial distribution of atomic properties across the molecular graph.
AATS8dv,Average Atom-type Topological State Index of Lag 8 weighted by Valence Vertex Degree,Mordred,Autocorrelation,Average Atom-type Topological State index representing spatial distribution of atomic properties across the molecular graph.
AATS8i,Average Atom-type Topological State Index of Lag 8 weighted by Ionization Potential,Mordred,Autocorrelation,Average Atom-type Topological State index representing spatial distribution of atomic properties across the molecular graph.
AATS8m,Average Atom-type Topological State Index of Lag 8 weighted by Atomic Mass,Mordred,Autocorrelation,Average Atom-type Topological State index representing spatial distribution of atomic properties across the molecular graph.
AATS8p,Average Atom-type Topological State Index of Lag 8 weighted by Polarizability,Mordred,Autocorrelation,Average Atom-type Topological State index representing spatial distribution of atomic properties across the molecular graph.
AATS8pe,Average Atom-type Topological State Index of Lag 8 weighted by Pauling Electronegativity,Mordred,Autocorrelation,Average Atom-type Topological State index representing spatial distribution of atomic properties across the molecular graph.
AATS8s,Average Atom-type Topological State Index of Lag 8 weighted by Intrinsic State,Mordred,Autocorrelation,Average Atom-type Topological State index representing spatial distribution of atomic properties across the molecular graph.
AATS8se,Average Atom-type Topological State Index of Lag 8 weighted by Sanders-relative Electronegativity,Mordred,Autocorrelation,Average Atom-type Topological State index representing spatial distribution of atomic properties across the molecular graph.
AATS8v,Average Atom-type Topological State Index of Lag 8 weighted by Van der Waals Volume,Mordred,Autocorrelation,Average Atom-type Topological State index representing spatial distribution of atomic properties across the molecular graph.
AATSC0Z,Aatsc0Z,Mordred,Autocorrelation,Average Atom-type Topological State index representing spatial distribution of atomic properties across the molecular graph.
AATSC0are,Aatsc0Are,Mordred,Autocorrelation,Average Atom-type Topological State index representing spatial distribution of atomic properties across the molecular graph.
AATSC0c,Aatsc0C,Mordred,Autocorrelation,Average Atom-type Topological State index representing spatial distribution of atomic properties across the molecular graph.
AATSC0d,Aatsc0D,Mordred,Autocorrelation,Average Atom-type Topological State index representing spatial distribution of atomic properties across the molecular graph.
AATSC0dv,Aatsc0Dv,Mordred,Autocorrelation,Average Atom-type Topological State index representing spatial distribution of atomic properties across the molecular graph.
AATSC0i,Aatsc0I,Mordred,Autocorrelation,Average Atom-type Topological State index representing spatial distribution of atomic properties across the molecular graph.
AATSC0m,Aatsc0M,Mordred,Autocorrelation,Average Atom-type Topological State index representing spatial distribution of atomic properties across the molecular graph.
AATSC0p,Aatsc0P,Mordred,Autocorrelation,Average Atom-type Topological State index representing spatial distribution of atomic properties across the molecular graph.
AATSC0pe,Aatsc0Pe,Mordred,Autocorrelation,Average Atom-type Topological State index representing spatial distribution of atomic properties across the molecular graph.
AATSC0s,Aatsc0S,Mordred,Autocorrelation,Average Atom-type Topological State index representing spatial distribution of atomic properties across the molecular graph.
AATSC0se,Aatsc0Se,Mordred,Autocorrelation,Average Atom-type Topological State index representing spatial distribution of atomic properties across the molecular graph.
AATSC0v,Aatsc0V,Mordred,Autocorrelation,Average Atom-type Topological State index representing spatial distribution of atomic properties across the molecular graph.
AATSC1Z,Aatsc1Z,Mordred,Autocorrelation,Average Atom-type Topological State index representing spatial distribution of atomic properties across the molecular graph.
AATSC1are,Aatsc1Are,Mordred,Autocorrelation,Average Atom-type Topological State index representing spatial distribution of atomic properties across the molecular graph.
AATSC1c,Aatsc1C,Mordred,Autocorrelation,Average Atom-type Topological State index representing spatial distribution of atomic properties across the molecular graph.
AATSC1d,Aatsc1D,Mordred,Autocorrelation,Average Atom-type Topological State index representing spatial distribution of atomic properties across the molecular graph.
AATSC1dv,Aatsc1Dv,Mordred,Autocorrelation,Average Atom-type Topological State index representing spatial distribution of atomic properties across the molecular graph.
AATSC1i,Aatsc1I,Mordred,Autocorrelation,Average Atom-type Topological State index representing spatial distribution of atomic properties across the molecular graph.
AATSC1m,Aatsc1M,Mordred,Autocorrelation,Average Atom-type Topological State index representing spatial distribution of atomic properties across the molecular graph.
AATSC1p,Aatsc1P,Mordred,Autocorrelation,Average Atom-type Topological State index representing spatial distribution of atomic properties across the molecular graph.
AATSC1pe,Aatsc1Pe,Mordred,Autocorrelation,Average Atom-type Topological State index representing spatial distribution of atomic properties across the molecular graph.
AATSC1s,Aatsc1S,Mordred,Autocorrelation,Average Atom-type Topological State index representing spatial distribution of atomic properties across the molecular graph.
AATSC1se,Aatsc1Se,Mordred,Autocorrelation,Average Atom-type Topological State index representing spatial distribution of atomic properties across the molecular graph.
AATSC1v,Aatsc1V,Mordred,Autocorrelation,Average Atom-type Topological State index representing spatial distribution of atomic properties across the molecular graph.
AATSC2Z,Aatsc2Z,Mordred,Autocorrelation,Average Atom-type Topological State index representing spatial distribution of atomic properties across the molecular graph.
AATSC2are,Aatsc2Are,Mordred,Autocorrelation,Average Atom-type Topological State index representing spatial distribution of atomic properties across the molecular graph.
AATSC2c,Aatsc2C,Mordred,Autocorrelation,Average Atom-type Topological State index representing spatial distribution of atomic properties across the molecular graph.
AATSC2d,Aatsc2D,Mordred,Autocorrelation,Average Atom-type Topological State index representing spatial distribution of atomic properties across the molecular graph.
AATSC2dv,Aatsc2Dv,Mordred,Autocorrelation,Average Atom-type Topological State index representing spatial distribution of atomic properties across the molecular graph.
AATSC2i,Aatsc2I,Mordred,Autocorrelation,Average Atom-type Topological State index representing spatial distribution of atomic properties across the molecular graph.
AATSC2m,Aatsc2M,Mordred,Autocorrelation,Average Atom-type Topological State index representing spatial distribution of atomic properties across the molecular graph.
AATSC2p,Aatsc2P,Mordred,Autocorrelation,Average Atom-type Topological State index representing spatial distribution of atomic properties across the molecular graph.
AATSC2pe,Aatsc2Pe,Mordred,Autocorrelation,Average Atom-type Topological State index representing spatial distribution of atomic properties across the molecular graph.
AATSC2s,Aatsc2S,Mordred,Autocorrelation,Average Atom-type Topological State index representing spatial distribution of atomic properties across the molecular graph.
AATSC2se,Aatsc2Se,Mordred,Autocorrelation,Average Atom-type Topological State index representing spatial distribution of atomic properties across the molecular graph.
AATSC2v,Aatsc2V,Mordred,Autocorrelation,Average Atom-type Topological State index representing spatial distribution of atomic properties across the molecular graph.
AATSC3Z,Aatsc3Z,Mordred,Autocorrelation,Average Atom-type Topological State index representing spatial distribution of atomic properties across the molecular graph.
AATSC3are,Aatsc3Are,Mordred,Autocorrelation,Average Atom-type Topological State index representing spatial distribution of atomic properties across the molecular graph.
AATSC3c,Aatsc3C,Mordred,Autocorrelation,Average Atom-type Topological State index representing spatial distribution of atomic properties across the molecular graph.
AATSC3d,Aatsc3D,Mordred,Autocorrelation,Average Atom-type Topological State index representing spatial distribution of atomic properties across the molecular graph.
AATSC3dv,Aatsc3Dv,Mordred,Autocorrelation,Average Atom-type Topological State index representing spatial distribution of atomic properties across the molecular graph.
AATSC3i,Aatsc3I,Mordred,Autocorrelation,Average Atom-type Topological State index representing spatial distribution of atomic properties across the molecular graph.
AATSC3m,Aatsc3M,Mordred,Autocorrelation,Average Atom-type Topological State index representing spatial distribution of atomic properties across the molecular graph.
AATSC3p,Aatsc3P,Mordred,Autocorrelation,Average Atom-type Topological State index representing spatial distribution of atomic properties across the molecular graph.
AATSC3pe,Aatsc3Pe,Mordred,Autocorrelation,Average Atom-type Topological State index representing spatial distribution of atomic properties across the molecular graph.
AATSC3s,Aatsc3S,Mordred,Autocorrelation,Average Atom-type Topological State index representing spatial distribution of atomic properties across the molecular graph.
AATSC3se,Aatsc3Se,Mordred,Autocorrelation,Average Atom-type Topological State index representing spatial distribution of atomic properties across the molecular graph.
AATSC3v,Aatsc3V,Mordred,Autocorrelation,Average Atom-type Topological State index representing spatial distribution of atomic properties across the molecular graph.
AATSC4Z,Aatsc4Z,Mordred,Autocorrelation,Average Atom-type Topological State index representing spatial distribution of atomic properties across the molecular graph.
AATSC4are,Aatsc4Are,Mordred,Autocorrelation,Average Atom-type Topological State index representing spatial distribution of atomic properties across the molecular graph.
AATSC4c,Aatsc4C,Mordred,Autocorrelation,Average Atom-type Topological State index representing spatial distribution of atomic properties across the molecular graph.
AATSC4d,Aatsc4D,Mordred,Autocorrelation,Average Atom-type Topological State index representing spatial distribution of atomic properties across the molecular graph.
AATSC4dv,Aatsc4Dv,Mordred,Autocorrelation,Average Atom-type Topological State index representing spatial distribution of atomic properties across the molecular graph.
AATSC4i,Aatsc4I,Mordred,Autocorrelation,Average Atom-type Topological State index representing spatial distribution of atomic properties across the molecular graph.
AATSC4m,Aatsc4M,Mordred,Autocorrelation,Average Atom-type Topological State index representing spatial distribution of atomic properties across the molecular graph.
AATSC4p,Aatsc4P,Mordred,Autocorrelation,Average Atom-type Topological State index representing spatial distribution of atomic properties across the molecular graph.
AATSC4pe,Aatsc4Pe,Mordred,Autocorrelation,Average Atom-type Topological State index representing spatial distribution of atomic properties across the molecular graph.
AATSC4s,Aatsc4S,Mordred,Autocorrelation,Average Atom-type Topological State index representing spatial distribution of atomic properties across the molecular graph.
AATSC4se,Aatsc4Se,Mordred,Autocorrelation,Average Atom-type Topological State index representing spatial distribution of atomic properties across the molecular graph.
AATSC4v,Aatsc4V,Mordred,Autocorrelation,Average Atom-type Topological State index representing spatial distribution of atomic properties across the molecular graph.
AATSC5Z,Aatsc5Z,Mordred,Autocorrelation,Average Atom-type Topological State index representing spatial distribution of atomic properties across the molecular graph.
AATSC5are,Aatsc5Are,Mordred,Autocorrelation,Average Atom-type Topological State index representing spatial distribution of atomic properties across the molecular graph.
AATSC5c,Aatsc5C,Mordred,Autocorrelation,Average Atom-type Topological State index representing spatial distribution of atomic properties across the molecular graph.
AATSC5d,Aatsc5D,Mordred,Autocorrelation,Average Atom-type Topological State index representing spatial distribution of atomic properties across the molecular graph.
AATSC5dv,Aatsc5Dv,Mordred,Autocorrelation,Average Atom-type Topological State index representing spatial distribution of atomic properties across the molecular graph.
AATSC5i,Aatsc5I,Mordred,Autocorrelation,Average Atom-type Topological State index representing spatial distribution of atomic properties across the molecular graph.
AATSC5m,Aatsc5M,Mordred,Autocorrelation,Average Atom-type Topological State index representing spatial distribution of atomic properties across the molecular graph.
AATSC5p,Aatsc5P,Mordred,Autocorrelation,Average Atom-type Topological State index representing spatial distribution of atomic properties across the molecular graph.
AATSC5pe,Aatsc5Pe,Mordred,Autocorrelation,Average Atom-type Topological State index representing spatial distribution of atomic properties across the molecular graph.
AATSC5s,Aatsc5S,Mordred,Autocorrelation,Average Atom-type Topological State index representing spatial distribution of atomic properties across the molecular graph.
AATSC5se,Aatsc5Se,Mordred,Autocorrelation,Average Atom-type Topological State index representing spatial distribution of atomic properties across the molecular graph.
AATSC5v,Aatsc5V,Mordred,Autocorrelation,Average Atom-type Topological State index representing spatial distribution of atomic properties across the molecular graph.
AATSC6Z,Aatsc6Z,Mordred,Autocorrelation,Average Atom-type Topological State index representing spatial distribution of atomic properties across the molecular graph.
AATSC6are,Aatsc6Are,Mordred,Autocorrelation,Average Atom-type Topological State index representing spatial distribution of atomic properties across the molecular graph.
AATSC6c,Aatsc6C,Mordred,Autocorrelation,Average Atom-type Topological State index representing spatial distribution of atomic properties across the molecular graph.
AATSC6d,Aatsc6D,Mordred,Autocorrelation,Average Atom-type Topological State index representing spatial distribution of atomic properties across the molecular graph.
AATSC6dv,Aatsc6Dv,Mordred,Autocorrelation,Average Atom-type Topological State index representing spatial distribution of atomic properties across the molecular graph.
AATSC6i,Aatsc6I,Mordred,Autocorrelation,Average Atom-type Topological State index representing spatial distribution of atomic properties across the molecular graph.
AATSC6m,Aatsc6M,Mordred,Autocorrelation,Average Atom-type Topological State index representing spatial distribution of atomic properties across the molecular graph.
AATSC6p,Aatsc6P,Mordred,Autocorrelation,Average Atom-type Topological State index representing spatial distribution of atomic properties across the molecular graph.
AATSC6pe,Aatsc6Pe,Mordred,Autocorrelation,Average Atom-type Topological State index representing spatial distribution of atomic properties across the molecular graph.
AATSC6s,Aatsc6S,Mordred,Autocorrelation,Average Atom-type Topological State index representing spatial distribution of atomic properties across the molecular graph.
AATSC6se,Aatsc6Se,Mordred,Autocorrelation,Average Atom-type Topological State index representing spatial distribution of atomic properties across the molecular graph.
AATSC6v,Aatsc6V,Mordred,Autocorrelation,Average Atom-type Topological State index representing spatial distribution of atomic properties across the molecular graph.
AATSC7Z,Aatsc7Z,Mordred,Autocorrelation,Average Atom-type Topological State index representing spatial distribution of atomic properties across the molecular graph.
AATSC7are,Aatsc7Are,Mordred,Autocorrelation,Average Atom-type Topological State index representing spatial distribution of atomic properties across the molecular graph.
AATSC7c,Aatsc7C,Mordred,Autocorrelation,Average Atom-type Topological State index representing spatial distribution of atomic properties across the molecular graph.
AATSC7d,Aatsc7D,Mordred,Autocorrelation,Average Atom-type Topological State index representing spatial distribution of atomic properties across the molecular graph.
AATSC7dv,Aatsc7Dv,Mordred,Autocorrelation,Average Atom-type Topological State index representing spatial distribution of atomic properties across the molecular graph.
AATSC7i,Aatsc7I,Mordred,Autocorrelation,Average Atom-type Topological State index representing spatial distribution of atomic properties across the molecular graph.
AATSC7m,Aatsc7M,Mordred,Autocorrelation,Average Atom-type Topological State index representing spatial distribution of atomic properties across the molecular graph.
AATSC7p,Aatsc7P,Mordred,Autocorrelation,Average Atom-type Topological State index representing spatial distribution of atomic properties across the molecular graph.
AATSC7pe,Aatsc7Pe,Mordred,Autocorrelation,Average Atom-type Topological State index representing spatial distribution of atomic properties across the molecular graph.
AATSC7s,Aatsc7S,Mordred,Autocorrelation,Average Atom-type Topological State index representing spatial distribution of atomic properties across the molecular graph.
AATSC7se,Aatsc7Se,Mordred,Autocorrelation,Average Atom-type Topological State index representing spatial distribution of atomic properties across the molecular graph.
AATSC7v,Aatsc7V,Mordred,Autocorrelation,Average Atom-type Topological State index representing spatial distribution of atomic properties across the molecular graph.
AATSC8Z,Aatsc8Z,Mordred,Autocorrelation,Average Atom-type Topological State index representing spatial distribution of atomic properties across the molecular graph.
AATSC8are,Aatsc8Are,Mordred,Autocorrelation,Average Atom-type Topological State index representing spatial distribution of atomic properties across the molecular graph.
AATSC8c,Aatsc8C,Mordred,Autocorrelation,Average Atom-type Topological State index representing spatial distribution of atomic properties across the molecular graph.
AATSC8d,Aatsc8D,Mordred,Autocorrelation,Average Atom-type Topological State index representing spatial distribution of atomic properties across the molecular graph.
AATSC8dv,Aatsc8Dv,Mordred,Autocorrelation,Average Atom-type Topological State index representing spatial distribution of atomic properties across the molecular graph.
AATSC8i,Aatsc8I,Mordred,Autocorrelation,Average Atom-type Topological State index representing spatial distribution of atomic properties across the molecular graph.
AATSC8m,Aatsc8M,Mordred,Autocorrelation,Average Atom-type Topological State index representing spatial distribution of atomic properties across the molecular graph.
AATSC8p,Aatsc8P,Mordred,Autocorrelation,Average Atom-type Topological State index representing spatial distribution of atomic properties across the molecular graph.
AATSC8pe,Aatsc8Pe,Mordred,Autocorrelation,Average Atom-type Topological State index representing spatial distribution of atomic properties across the molecular graph.
AATSC8s,Aatsc8S,Mordred,Autocorrelation,Average Atom-type Topological State index representing spatial distribution of atomic properties across the molecular graph.
AATSC8se,Aatsc8Se,Mordred,Autocorrelation,Average Atom-type Topological State index representing spatial distribution of atomic properties across the molecular graph.
AATSC8v,Aatsc8V,Mordred,Autocorrelation,Average Atom-type Topological State index representing spatial distribution of atomic properties across the molecular graph.
ABC,Abc,Mordred,General Mordred Descriptor,"Advanced topological, electronic, or 3D molecular descriptor calculated by the Mordred engine (Name: ABC)."
ABCGG,Abcgg,Mordred,General Mordred Descriptor,"Advanced topological, electronic, or 3D molecular descriptor calculated by the Mordred engine (Name: ABCGG)."
AETA_alpha,Aeta Alpha,Mordred,General Mordred Descriptor,"Advanced topological, electronic, or 3D molecular descriptor calculated by the Mordred engine (Name: AETA_alpha)."
AETA_beta,Aeta Beta,Mordred,General Mordred Descriptor,"Advanced topological, electronic, or 3D molecular descriptor calculated by the Mordred engine (Name: AETA_beta)."
AETA_beta_ns,Aeta Beta Ns,Mordred,General Mordred Descriptor,"Advanced topological, electronic, or 3D molecular descriptor calculated by the Mordred engine (Name: AETA_beta_ns)."
AETA_beta_ns_d,Aeta Beta Ns D,Mordred,General Mordred Descriptor,"Advanced topological, electronic, or 3D molecular descriptor calculated by the Mordred engine (Name: AETA_beta_ns_d)."
AETA_beta_s,Aeta Beta S,Mordred,General Mordred Descriptor,"Advanced topological, electronic, or 3D molecular descriptor calculated by the Mordred engine (Name: AETA_beta_s)."
AETA_dBeta,Aeta Dbeta,Mordred,General Mordred Descriptor,"Advanced topological, electronic, or 3D molecular descriptor calculated by the Mordred engine (Name: AETA_dBeta)."
AETA_eta,Aeta Eta,Mordred,General Mordred Descriptor,"Advanced topological, electronic, or 3D molecular descriptor calculated by the Mordred engine (Name: AETA_eta)."
AETA_eta_B,Aeta Eta B,Mordred,General Mordred Descriptor,"Advanced topological, electronic, or 3D molecular descriptor calculated by the Mordred engine (Name: AETA_eta_B)."
AETA_eta_BR,Aeta Eta Br,Mordred,General Mordred Descriptor,"Advanced topological, electronic, or 3D molecular descriptor calculated by the Mordred engine (Name: AETA_eta_BR)."
AETA_eta_F,Aeta Eta F,Mordred,General Mordred Descriptor,"Advanced topological, electronic, or 3D molecular descriptor calculated by the Mordred engine (Name: AETA_eta_F)."
AETA_eta_FL,Aeta Eta Fl,Mordred,General Mordred Descriptor,"Advanced topological, electronic, or 3D molecular descriptor calculated by the Mordred engine (Name: AETA_eta_FL)."
AETA_eta_L,Aeta Eta L,Mordred,General Mordred Descriptor,"Advanced topological, electronic, or 3D molecular descriptor calculated by the Mordred engine (Name: AETA_eta_L)."
AETA_eta_R,Aeta Eta R,Mordred,General Mordred Descriptor,"Advanced topological, electronic, or 3D molecular descriptor calculated by the Mordred engine (Name: AETA_eta_R)."
AETA_eta_RL,Aeta Eta Rl,Mordred,General Mordred Descriptor,"Advanced topological, electronic, or 3D molecular descriptor calculated by the Mordred engine (Name: AETA_eta_RL)."
AMID,Amid,Mordred,General Mordred Descriptor,"Advanced topological, electronic, or 3D molecular descriptor calculated by the Mordred engine (Name: AMID)."
AMID_C,Amid C,Mordred,General Mordred Descriptor,"Advanced topological, electronic, or 3D molecular descriptor calculated by the Mordred engine (Name: AMID_C)."
AMID_N,Amid N,Mordred,General Mordred Descriptor,"Advanced topological, electronic, or 3D molecular descriptor calculated by the Mordred engine (Name: AMID_N)."
AMID_O,Amid O,Mordred,General Mordred Descriptor,"Advanced topological, electronic, or 3D molecular descriptor calculated by the Mordred engine (Name: AMID_O)."
AMID_X,Amid X,Mordred,General Mordred Descriptor,"Advanced topological, electronic, or 3D molecular descriptor calculated by the Mordred engine (Name: AMID_X)."
AMID_h,Amid H,Mordred,General Mordred Descriptor,"Advanced topological, electronic, or 3D molecular descriptor calculated by the Mordred engine (Name: AMID_h)."
AMW,Amw,Mordred,General Mordred Descriptor,"Advanced topological, electronic, or 3D molecular descriptor calculated by the Mordred engine (Name: AMW)."
ATS0Z,Atom Transition Space Autocorrelation of Lag 0 weighted by Atomic Number,Mordred,Autocorrelation,Atom Transition Space autocorrelation index weighted by specific atomic properties.
ATS0are,Atom Transition Space Autocorrelation of Lag 0 weighted by Allinger-relative Electronegativity,Mordred,Autocorrelation,Atom Transition Space autocorrelation index weighted by specific atomic properties.
ATS0d,Atom Transition Space Autocorrelation of Lag 0 weighted by Vertex Degree,Mordred,Autocorrelation,Atom Transition Space autocorrelation index weighted by specific atomic properties.
ATS0dv,Atom Transition Space Autocorrelation of Lag 0 weighted by Valence Vertex Degree,Mordred,Autocorrelation,Atom Transition Space autocorrelation index weighted by specific atomic properties.
ATS0i,Atom Transition Space Autocorrelation of Lag 0 weighted by Ionization Potential,Mordred,Autocorrelation,Atom Transition Space autocorrelation index weighted by specific atomic properties.
ATS0m,Atom Transition Space Autocorrelation of Lag 0 weighted by Atomic Mass,Mordred,Autocorrelation,Atom Transition Space autocorrelation index weighted by specific atomic properties.
ATS0p,Atom Transition Space Autocorrelation of Lag 0 weighted by Polarizability,Mordred,Autocorrelation,Atom Transition Space autocorrelation index weighted by specific atomic properties.
ATS0pe,Atom Transition Space Autocorrelation of Lag 0 weighted by Pauling Electronegativity,Mordred,Autocorrelation,Atom Transition Space autocorrelation index weighted by specific atomic properties.
ATS0s,Atom Transition Space Autocorrelation of Lag 0 weighted by Intrinsic State,Mordred,Autocorrelation,Atom Transition Space autocorrelation index weighted by specific atomic properties.
ATS0se,Atom Transition Space Autocorrelation of Lag 0 weighted by Sanders-relative Electronegativity,Mordred,Autocorrelation,Atom Transition Space autocorrelation index weighted by specific atomic properties.
ATS0v,Atom Transition Space Autocorrelation of Lag 0 weighted by Van der Waals Volume,Mordred,Autocorrelation,Atom Transition Space autocorrelation index weighted by specific atomic properties.
ATS1Z,Atom Transition Space Autocorrelation of Lag 1 weighted by Atomic Number,Mordred,Autocorrelation,Atom Transition Space autocorrelation index weighted by specific atomic properties.
ATS1are,Atom Transition Space Autocorrelation of Lag 1 weighted by Allinger-relative Electronegativity,Mordred,Autocorrelation,Atom Transition Space autocorrelation index weighted by specific atomic properties.
ATS1d,Atom Transition Space Autocorrelation of Lag 1 weighted by Vertex Degree,Mordred,Autocorrelation,Atom Transition Space autocorrelation index weighted by specific atomic properties.
ATS1dv,Atom Transition Space Autocorrelation of Lag 1 weighted by Valence Vertex Degree,Mordred,Autocorrelation,Atom Transition Space autocorrelation index weighted by specific atomic properties.
ATS1i,Atom Transition Space Autocorrelation of Lag 1 weighted by Ionization Potential,Mordred,Autocorrelation,Atom Transition Space autocorrelation index weighted by specific atomic properties.
ATS1m,Atom Transition Space Autocorrelation of Lag 1 weighted by Atomic Mass,Mordred,Autocorrelation,Atom Transition Space autocorrelation index weighted by specific atomic properties.
ATS1p,Atom Transition Space Autocorrelation of Lag 1 weighted by Polarizability,Mordred,Autocorrelation,Atom Transition Space autocorrelation index weighted by specific atomic properties.
ATS1pe,Atom Transition Space Autocorrelation of Lag 1 weighted by Pauling Electronegativity,Mordred,Autocorrelation,Atom Transition Space autocorrelation index weighted by specific atomic properties.
ATS1s,Atom Transition Space Autocorrelation of Lag 1 weighted by Intrinsic State,Mordred,Autocorrelation,Atom Transition Space autocorrelation index weighted by specific atomic properties.
ATS1se,Atom Transition Space Autocorrelation of Lag 1 weighted by Sanders-relative Electronegativity,Mordred,Autocorrelation,Atom Transition Space autocorrelation index weighted by specific atomic properties.
ATS1v,Atom Transition Space Autocorrelation of Lag 1 weighted by Van der Waals Volume,Mordred,Autocorrelation,Atom Transition Space autocorrelation index weighted by specific atomic properties.
ATS2Z,Atom Transition Space Autocorrelation of Lag 2 weighted by Atomic Number,Mordred,Autocorrelation,Atom Transition Space autocorrelation index weighted by specific atomic properties.
ATS2are,Atom Transition Space Autocorrelation of Lag 2 weighted by Allinger-relative Electronegativity,Mordred,Autocorrelation,Atom Transition Space autocorrelation index weighted by specific atomic properties.
ATS2d,Atom Transition Space Autocorrelation of Lag 2 weighted by Vertex Degree,Mordred,Autocorrelation,Atom Transition Space autocorrelation index weighted by specific atomic properties.
ATS2dv,Atom Transition Space Autocorrelation of Lag 2 weighted by Valence Vertex Degree,Mordred,Autocorrelation,Atom Transition Space autocorrelation index weighted by specific atomic properties.
ATS2i,Atom Transition Space Autocorrelation of Lag 2 weighted by Ionization Potential,Mordred,Autocorrelation,Atom Transition Space autocorrelation index weighted by specific atomic properties.
ATS2m,Atom Transition Space Autocorrelation of Lag 2 weighted by Atomic Mass,Mordred,Autocorrelation,Atom Transition Space autocorrelation index weighted by specific atomic properties.
ATS2p,Atom Transition Space Autocorrelation of Lag 2 weighted by Polarizability,Mordred,Autocorrelation,Atom Transition Space autocorrelation index weighted by specific atomic properties.
ATS2pe,Atom Transition Space Autocorrelation of Lag 2 weighted by Pauling Electronegativity,Mordred,Autocorrelation,Atom Transition Space autocorrelation index weighted by specific atomic properties.
ATS2s,Atom Transition Space Autocorrelation of Lag 2 weighted by Intrinsic State,Mordred,Autocorrelation,Atom Transition Space autocorrelation index weighted by specific atomic properties.
ATS2se,Atom Transition Space Autocorrelation of Lag 2 weighted by Sanders-relative Electronegativity,Mordred,Autocorrelation,Atom Transition Space autocorrelation index weighted by specific atomic properties.
ATS2v,Atom Transition Space Autocorrelation of Lag 2 weighted by Van der Waals Volume,Mordred,Autocorrelation,Atom Transition Space autocorrelation index weighted by specific atomic properties.
ATS3Z,Atom Transition Space Autocorrelation of Lag 3 weighted by Atomic Number,Mordred,Autocorrelation,Atom Transition Space autocorrelation index weighted by specific atomic properties.
ATS3are,Atom Transition Space Autocorrelation of Lag 3 weighted by Allinger-relative Electronegativity,Mordred,Autocorrelation,Atom Transition Space autocorrelation index weighted by specific atomic properties.
ATS3d,Atom Transition Space Autocorrelation of Lag 3 weighted by Vertex Degree,Mordred,Autocorrelation,Atom Transition Space autocorrelation index weighted by specific atomic properties.
ATS3dv,Atom Transition Space Autocorrelation of Lag 3 weighted by Valence Vertex Degree,Mordred,Autocorrelation,Atom Transition Space autocorrelation index weighted by specific atomic properties.
ATS3i,Atom Transition Space Autocorrelation of Lag 3 weighted by Ionization Potential,Mordred,Autocorrelation,Atom Transition Space autocorrelation index weighted by specific atomic properties.
ATS3m,Atom Transition Space Autocorrelation of Lag 3 weighted by Atomic Mass,Mordred,Autocorrelation,Atom Transition Space autocorrelation index weighted by specific atomic properties.
ATS3p,Atom Transition Space Autocorrelation of Lag 3 weighted by Polarizability,Mordred,Autocorrelation,Atom Transition Space autocorrelation index weighted by specific atomic properties.
ATS3pe,Atom Transition Space Autocorrelation of Lag 3 weighted by Pauling Electronegativity,Mordred,Autocorrelation,Atom Transition Space autocorrelation index weighted by specific atomic properties.
ATS3s,Atom Transition Space Autocorrelation of Lag 3 weighted by Intrinsic State,Mordred,Autocorrelation,Atom Transition Space autocorrelation index weighted by specific atomic properties.
ATS3se,Atom Transition Space Autocorrelation of Lag 3 weighted by Sanders-relative Electronegativity,Mordred,Autocorrelation,Atom Transition Space autocorrelation index weighted by specific atomic properties.
ATS3v,Atom Transition Space Autocorrelation of Lag 3 weighted by Van der Waals Volume,Mordred,Autocorrelation,Atom Transition Space autocorrelation index weighted by specific atomic properties.
ATS4Z,Atom Transition Space Autocorrelation of Lag 4 weighted by Atomic Number,Mordred,Autocorrelation,Atom Transition Space autocorrelation index weighted by specific atomic properties.
ATS4are,Atom Transition Space Autocorrelation of Lag 4 weighted by Allinger-relative Electronegativity,Mordred,Autocorrelation,Atom Transition Space autocorrelation index weighted by specific atomic properties.
ATS4d,Atom Transition Space Autocorrelation of Lag 4 weighted by Vertex Degree,Mordred,Autocorrelation,Atom Transition Space autocorrelation index weighted by specific atomic properties.
